timestamp,resolved_at,market,direction,outcome,amount,entry_price,result,won,pnl,winning_outcome,condition_id,token_id
2026-02-26T08:32:15.821412+00:00,2026-02-26T08:36:10.255264+00:00,"XRP Up or Down - February 26, 3:30AM-3:35AM ET",UP,Up,2.0,0.2,LOSS,NO,-2.0,,0x23b57a2eb213f132474f3626c716b9013d8b12eeaffc1c9781175799759c2aff,114195427008938616567601092079488796324493227079386300730196450176864342444353
2026-02-26T08:32:36.096069+00:00,2026-02-26T08:36:10.693465+00:00,"Solana Up or Down - February 26, 3:30AM-3:35AM ET",UP,Up,2.0,0.6287242981176903,LOSS,NO,-2.0,,0xd4ea572c161a523f978e661631d50d58e1f83df771bd9813453dd6d55ee64581,62363458855173368215247067620538957043091733946839412365128802729250123723082
2026-02-26T08:32:46.368952+00:00,2026-02-26T08:36:11.111992+00:00,"Solana Up or Down - February 26, 3:30AM-3:35AM ET",UP,Up,2.0,0.7760772677582499,LOSS,NO,-2.0,,0xd4ea572c161a523f978e661631d50d58e1f83df771bd9813453dd6d55ee64581,62363458855173368215247067620538957043091733946839412365128802729250123723082
2026-02-26T08:32:46.369535+00:00,2026-02-26T08:36:11.144380+00:00,"Solana Up or Down - February 26, 3:30AM-3:35AM ET",UP,Up,2.0,0.7273902852986341,LOSS,NO,-2.0,,0xd4ea572c161a523f978e661631d50d58e1f83df771bd9813453dd6d55ee64581,62363458855173368215247067620538957043091733946839412365128802729250123723082
2026-02-26T08:33:49.098066+00:00,2026-02-26T08:36:11.840124+00:00,"XRP Up or Down - February 26, 3:30AM-3:35AM ET",UP,Up,2.0,0.060000000000000005,LOSS,NO,-2.0,,0x23b57a2eb213f132474f3626c716b9013d8b12eeaffc1c9781175799759c2aff,114195427008938616567601092079488796324493227079386300730196450176864342444353
2026-02-26T08:33:49.102280+00:00,2026-02-26T08:36:12.133240+00:00,"XRP Up or Down - February 26, 3:30AM-3:35AM ET",UP,Up,2.0,0.07,LOSS,NO,-2.0,,0x23b57a2eb213f132474f3626c716b9013d8b12eeaffc1c9781175799759c2aff,114195427008938616567601092079488796324493227079386300730196450176864342444353
2026-02-26T08:33:49.103369+00:00,2026-02-26T08:36:12.164464+00:00,"Solana Up or Down - February 26, 3:30AM-3:35AM ET",UP,Up,2.0,0.2114544638118953,LOSS,NO,-2.0,,0xd4ea572c161a523f978e661631d50d58e1f83df771bd9813453dd6d55ee64581,62363458855173368215247067620538957043091733946839412365128802729250123723082
2026-02-26T08:33:49.105352+00:00,2026-02-26T08:36:12.251266+00:00,"Solana Up or Down - February 26, 3:30AM-3:35AM ET",UP,Up,2.0,0.21828933836133013,LOSS,NO,-2.0,,0xd4ea572c161a523f978e661631d50d58e1f83df771bd9813453dd6d55ee64581,62363458855173368215247067620538957043091733946839412365128802729250123723082
2026-02-26T08:32:15.819080+00:00,2026-02-26T08:38:22.607207+00:00,"Bitcoin Up or Down - February 26, 3:30AM-3:35AM ET",DOWN,Down,2.0,0.8051529790660225,WIN,YES,0.48400000000000043,Down,0xd69e17c40bd73896af325bd975f31b825404003a9375477505f000bbc613d598,60064153341552861574741783104526081329324053848184337019916184683953188665978
2026-02-26T08:32:15.819745+00:00,2026-02-26T08:38:22.668235+00:00,"Ethereum Up or Down - February 26, 3:30AM-3:35AM E",DOWN,Down,2.0,0.7469104682296088,WIN,YES,0.6776971070449331,Down,0x1a44678418e1f3446d88d1457ff2b7b01abd5fd2c9fdb201b4a7c3f097b80acc,2050079573979735212255975710139735891175010169945794051677236752113406585649
2026-02-26T08:32:15.820526+00:00,2026-02-26T08:38:22.788968+00:00,"Bitcoin Up or Down - February 26, 3:30AM-3:35AM ET",DOWN,Down,2.0,0.6684143821941354,WIN,YES,0.9921558441558438,Down,0xd69e17c40bd73896af325bd975f31b825404003a9375477505f000bbc613d598,60064153341552861574741783104526081329324053848184337019916184683953188665978
2026-02-26T08:32:15.820786+00:00,2026-02-26T08:38:22.826580+00:00,"Ethereum Up or Down - February 26, 3:30AM-3:35AM E",DOWN,Down,2.0,0.6684131285757302,WIN,YES,0.9921614559870258,Down,0x1a44678418e1f3446d88d1457ff2b7b01abd5fd2c9fdb201b4a7c3f097b80acc,2050079573979735212255975710139735891175010169945794051677236752113406585649
